Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01004705,Westminster 007D,252,46.4,5.4,20.3,100886,37.7,43.3,9.2,68.5
E01004709,Westminster 007E,334,54.5,5.3,20,57257,37.1,35,2.9,49.1
E01033600,Westminster 007F,222,53.9,5.5,15.7,86649,43.8,39.9,7.5,64.6
E01033608,Westminster 007G,329,56.5,4.6,20.4,75772,47.5,48.6,4.5,61.8
E01004659,Westminster 008A,612,69.9,8,28.5,66251,48.5,55.8,12.2,61.9
E01004660,Westminster 008B,510,66.4,8,27.3,88515,40.3,44,21.5,61.3
E01004712,Westminster 008C,576,67.3,8,23.2,86063,46.8,52.5,14,59.3
E01004727,Westminster 008D,627,52.4,7.4,30.2,89438,38.6,47.4,19.8,62.5
E01004670,Westminster 009A,571,68.9,6,37.7,28030,34.3,8.6,0.4,18.5
E01004702,Westminster 009E,605,69.1,6.4,31.2,35881,33.2,25.5,2.7,30
E01033598,Westminster 009F,262,67.5,5.4,34.1,34286,37.8,23.1,7.6,25.2
E01033601,Westminster 009G,319,65.5,7,24.6,37445,33.6,12.7,3.3,26.8
E01033602,Westminster 009H,350,76,6.4,28.8,33823,35,19.5,2.1,21.4
E01033603,Westminster 009I,378,75,8,28.3,48140,44.5,36.2,6.7,41.6
E01033604,Westminster 009J,300,81.1,7.9,45.6,37727,50.6,60,1.6,30.4
E01033605,Westminster 009K,434,71.8,7,32.6,34413,36.9,22.1,1.8,26.7
E01004754,Westminster 010A,306,68.2,4,31.7,34651,36.5,14.2,0.8,23.6
E01004755,Westminster 010B,481,62.9,5.5,32.8,47811,40.2,31.4,2.3,40.8
E01004757,Westminster 010C,390,69.7,5.5,26.8,38026,28.7,24,2,30.2
E01032512,Westminster 010F,500,70.7,4.5,40,36805,31,21.8,1.5,26.6
E01032513,Westminster 010G,252,72.3,5.1,29.1,38824,41.3,19.2,1,29.5
E01004713,Westminster 011A,352,55.5,7.4,18.7,115996,44.2,57.5,18.8,67.4
E01004714,Westminster 011B,606,66.4,8,27.3,89322,48.9,55.8,23.3,62.4
E01004716,Westminster 011C,310,54.8,7.3,18.8,101930,40.7,43,18.7,63.6
E01004717,Westminster 011D,412,69,8,24.1,84277,52.7,68.4,11.6,68.4
E01004762,Westminster 011E,457,59.3,8,25.4,94889,53.1,42.1,31.4,49.8
E01004657,Westminster 012A,329,62.8,8,28.5,96233,52.1,64.8,14.9,61.2
E01004658,Westminster 012B,617,70.4,8,42.1,54510,52.4,66.1,33.5,47.6
E01004661,Westminster 012C,565,73.9,8,35.4,58513,47.5,58.2,9.6,53.1
E01004662,Westminster 012D,616,70.5,8,27.7,80728,52,65.3,11,63.4
E01004663,Westminster 012E,321,59.8,8,22.9,77616,44.8,33.6,18.1,56.3
E01004715,Westminster 013A,737,73.5,7.7,20.3,56434,51.5,39,13.3,49.2
E01004763,Westminster 013B,750,80.9,8,27.8,70038,56.9,62.4,12.4,58
E01004765,Westminster 013D,570,67.3,8,21.1,73776,49.8,39.3,10.1,55.6
E01033595,Westminster 013E,288,80,8,27.4,74680,62.8,53.1,19.3,55.9
E01033596,Westminster 013F,244,82.6,8,25.2,59215,59.5,33.8,10.5,48.6
E01004653,Westminster 014A,364,53.2,5.5,16.9,95745,48.4,34.2,7.8,64.5
E01004654,Westminster 014B,504,61.2,6.5,24.7,80466,47.3,42,6.7,66.8
E01004656,Westminster 014D,484,69.3,7.6,29.1,58158,52,38,4.5,56.9
E01004760,Westminster 014E,311,63.9,4.8,20.8,52437,41.6,27.1,3.4,45.9
E01033606,Westminster 014F,262,69.1,5.1,28,64361,52.3,52.9,4.4,59.9
E01033607,Westminster 014G,259,59.6,5.2,15.9,66926,47.9,29.1,4.3,53.9
E01004680,Westminster 015A,272,51.8,8,26.3,94239,43.2,43.5,23.2,62.2
E01004683,Westminster 015B,383,47.1,8,19.6,107700,39.1,41.9,18.7,59.7
E01004684,Westminster 015C,480,64.8,8,43.9,55371,50.5,56.2,23.8,36.8
E01004686,Westminster 015E,398,71.1,8,55,48674,59.9,65.4,17.1,45.2
E01033593,Westminster 015F,356,67.9,8,48.8,52151,57.7,52.9,25.1,46
E01033594,Westminster 015G,393,68.9,8,33.3,55211,53.6,45.4,11.7,46.2
E01004681,Westminster 016A,670,68.8,7.9,32.2,71707,47.3,54.3,10.6,65.1
E01004682,Westminster 016B,559,67.8,8,33.7,70450,53.2,55.6,11.4,67.1
E01004694,Westminster 016C,502,70.7,8,38.3,82184,49.4,63.8,16.2,64.5
E01004697,Westminster 016D,435,66.3,8,29.4,68303,47.1,51.2,6.4,62.6
E01004700,Westminster 016E,505,68.8,8,30,77240,51.4,61.8,9.3,65.8
E01004652,Westminster 017A,616,74.4,8,36.1,58766,47.1,59.9,7,61.9
E01004693,Westminster 017B,321,60.4,7,30.3,97946,48.8,45.7,11.1,64.4
E01004695,Westminster 017C,535,76.4,7,38.7,64886,45.6,62.5,13.6,61.5
E01004696,Westminster 017D,320,70.7,7.9,30.4,42171,45.5,23.6,2.3,39.1
E01004698,Westminster 017E,534,73.1,7.7,40.1,69119,50,62.9,18.4,61.1
E01004699,Westminster 017F,784,69.4,7.4,35.2,71006,46.4,63.2,7.2,63.8
E01004734,Westminster 018A,605,80.3,8,23.6,58246,55.3,49.3,16.6,46.8
E01004735,Westminster 018B,575,77.6,8,16.4,62300,59.5,35.7,19.3,46.6
E01004736,Westminster 018C,688,56.8,7.9,19.9,105737,52,51.4,29.4,52.4
E01004761,Westminster 018D,470,61.5,8,26.3,107095,54.7,50,37.9,57.8
E01004687,Westminster 019A,197,31.3,7.7,18.4,140661,44.2,38.5,24.8,56.5
E01004688,Westminster 019B,1235,48.6,5.4,28.6,101546,49.4,36,21.6,29.1
E01004689,Westminster 019C,343,44.3,6.6,26.9,134918,46.9,36.9,38.6,50.3
E01004690,Westminster 019D,232,31.6,8,21.7,136805,37.5,39.1,26.1,54.3
E01004691,Westminster 019E,305,48.2,7.1,27.1,116031,52.3,44.1,26.4,52.4
E01004692,Westminster 019F,422,44.9,5.4,34,123536,39.6,39.6,33.5,52.2
E01004731,Westminster 020A,482,62.9,7.9,26.4,93052,48,48.7,22.1,62
E01004732,Westminster 020B,281,76.2,7.1,18.1,45850,53.4,12.1,4.7,29.7
E01004733,Westminster 020C,596,52.1,6.7,23,90193,42.5,40,16.8,57.5
E01004744,Westminster 020D,291,65.5,8,16.5,62854,55.5,31.2,8.6,44.3
E01004748,Westminster 020E,338,52.2,8,15.3,101260,41.1,33.5,14.9,65.2
E01004740,Westminster 021A,307,75.8,8,17.4,46578,50.6,13.8,2.8,40.5
E01004743,Westminster 021B,345,65.5,5.6,28.6,56851,47,30,16.9,47.6
E01004745,Westminster 021C,437,61.2,6,17.3,70270,45.2,28.5,11.2,57.2
E01004746,Westminster 021D,273,73.4,6,20.6,46304,49.8,18.2,4.8,41.2
E01004747,Westminster 021E,584,63.9,7.7,20.1,66225,45.2,32.3,10.3,56.9
E01004742,Westminster 022A,388,63.3,7.6,18.9,89273,47.4,44.7,9.4,68.5
E01004749,Westminster 022B,741,56.7,8,19.3,77985,43.7,40.6,9.8,61
E01004751,Westminster 022C,437,53.3,7.9,13.4,91985,46.2,39.7,7.2,69.4
E01004752,Westminster 022D,434,69.2,6.6,16.5,58230,51.2,27.8,6.6,52.6
